CP014715.1_cds_AOA65401.1_129	[locus_tag=AT250_GQ6802855]
CP014715.1_cds_AOA66681.1_130	[locus_tag=AT250_GQ6802852]
CP014715.1_cds_AOA66001.1_131	[gene=RPL23B]
CP014715.1_cds_AOA65450.1_132	[gene=SLX8]
CP014715.1_cds_AOA66270.1_133	[locus_tag=AT250_GQ6802848]
CP014715.1_cds_AOA66151.1_134	[locus_tag=AT250_GQ6802847]
CP014715.1_cds_AOA65600.1_135	[gene=BOI2]
CP014715.1_cds_AOA66279.1_136	[gene=CDC27]
CP014715.1_cds_AOA65495.1_137	[gene=SHO1]
CP014715.1_cds_AOA65762.1_138	[gene=UBR1]
CP014715.1_cds_AOA66123.1_139	[gene=URB2]
CP014715.1_cds_AOA65585.1_140	[gene=UIP4]
CP014715.1_cds_AOA66731.1_141	[gene=TPN1]
CP014715.1_cds_AOA66639.1_142	[locus_tag=AT250_GQ6802839]
CP014715.1_cds_AOA66145.1_143	[gene=MRN1]
CP014715.1_cds_AOA66467.1_144	[locus_tag=AT250_GQ6802837]
CP014715.1_cds_AOA66499.1_145	[gene=SLC1]
CP014715.1_cds_AOA66809.1_146	[gene=DCP1]
CP014715.1_cds_AOA66004.1_147	[gene=RGA1]
CP014715.1_cds_AOA65614.1_148	[locus_tag=AT250_GQ6802833]
CP014715.1_cds_AOA66420.1_149	[gene=CFD1]
CP014715.1_cds_AOA66449.1_150	[locus_tag=AT250_GQ6802831]
CP014715.1_cds_AOA66748.1_151	[gene=YEA4]
CP014715.1_cds_AOA66280.1_152	[gene=YMR010W]
CP014715.1_cds_AOA65686.1_153	[gene=YEL007W]
CP014715.1_cds_AOA66817.1_154	[gene=YAP5]
CP014715.1_cds_AOA66085.1_155	[gene=PET127]
CP014715.1_cds_AOA65566.1_156	[gene=ATG2]
CP014715.1_cds_AOA65459.1_157	[gene=SPS4]
CP014715.1_cds_AOA65837.1_158	[gene=MET32]
CP014715.1_cds_AOA65838.1_159	[gene=MET32]
CP014715.1_cds_AOA65872.1_160	[locus_tag=AT250_GQ6802822]
CP014715.1_cds_AOA66777.1_161	[gene=EGD1]
CP014715.1_cds_AOA65936.1_162	[locus_tag=AT250_GQ6802820]
CP014715.1_cds_AOA65638.1_163	[locus_tag=AT250_GQ6802819]
CP014715.1_cds_AOA66067.1_164	[gene=SCJ1]
CP014715.1_cds_AOA66876.1_165	[gene=DML1]
CP014715.1_cds_AOA66073.1_166	[locus_tag=AT250_GQ6802816]
CP014715.1_cds_AOA66827.1_167	[locus_tag=AT250_GQ6802815]
CP014715.1_cds_AOA66724.1_168	[gene=TMA16]
CP014715.1_cds_AOA66727.1_169	[gene=CAF20]
CP014715.1_cds_AOA66141.1_170	[gene=EFR3]
CP014715.1_cds_AOA66656.1_171	[gene=IML1]
CP014715.1_cds_AOA65410.1_172	[gene=CEF1]
CP014715.1_cds_AOA66036.1_173	[gene=CFT1]
CP014715.1_cds_AOA65631.1_174	[gene=RIM20]
CP014715.1_cds_AOA65536.1_175	[gene=MOD5]
CP014715.1_cds_AOA65501.1_176	[gene=FSF1]
CP014715.1_cds_AOA65635.1_177	[gene=ERG12]
CP014715.1_cds_AOA66814.1_178	[gene=YTM1]
CP014715.1_cds_AOA65660.1_179	[gene=YMR209C]
CP014715.1_cds_AOA66730.1_180	[locus_tag=AT250_GQ6802802]
CP014715.1_cds_AOA66547.1_181	[gene=GUA1]
CP014715.1_cds_AOA65398.1_182	[gene=RAM2]
CP014715.1_cds_AOA65780.1_183	[locus_tag=AT250_GQ6802799]
CP014715.1_cds_AOA66143.1_184	[locus_tag=AT250_GQ6802798]
CP014715.1_cds_AOA65675.1_185	[gene=COX10]
CP014715.1_cds_AOA66063.1_186	[gene=RPN8]
CP014715.1_cds_AOA66659.1_187	[locus_tag=AT250_GQ6802793]
CP014715.1_cds_AOA66702.1_188	[gene=YOR262W]
CP014715.1_cds_AOA66037.1_189	[gene=BUD27]
CP014715.1_cds_AOA66030.1_190	[locus_tag=AT250_GQ6802790]
CP014715.1_cds_AOA66436.1_191	[locus_tag=AT250_GQ6802789]
CP014715.1_cds_AOA66313.1_192	[locus_tag=AT250_GQ6802788]
CP014715.1_cds_AOA65539.1_193	[gene=SEC61]
CP014715.1_cds_AOA65561.1_194	[gene=YDL177C]
CP014715.1_cds_AOA66487.1_195	[locus_tag=AT250_GQ6802785]
CP014715.1_cds_AOA66679.1_196	[gene=YNL040W]
CP014715.1_cds_AOA66157.1_197	[gene=YBR138C]
CP014715.1_cds_AOA66769.1_198	[gene=VBA1]
CP014715.1_cds_AOA65854.1_199	[gene=CIA1]
CP014715.1_cds_AOA66479.1_200	[gene=CYC2]
CP014715.1_cds_AOA66806.1_201	[gene=PEP12]
CP014715.1_cds_AOA66770.1_202	[locus_tag=AT250_GQ6802777]
CP014715.1_cds_AOA66897.1_203	[gene=DYS1]
CP014715.1_cds_AOA65821.1_204	[locus_tag=AT250_GQ6802775]
CP014715.1_cds_AOA66133.1_205	[locus_tag=AT250_GQ6802774]
CP014715.1_cds_AOA66893.1_206	[locus_tag=AT250_GQ6802773]
CP014715.1_cds_AOA66226.1_207	[gene=ECM21]
CP014715.1_cds_AOA65513.1_208	[gene=MBA1]
CP014715.1_cds_AOA65589.1_209	[gene=SUR1]
CP014715.1_cds_AOA66007.1_210	[gene=GYP1]
CP014715.1_cds_AOA65798.1_211	[gene=MTD1]
CP014715.1_cds_AOA65904.1_212	[gene=SAC3]
CP014715.1_cds_AOA66695.1_213	[gene=MTC5]
CP014715.1_cds_AOA65624.1_214	[gene=CDC20]
CP014715.1_cds_AOA65549.1_215	[locus_tag=AT250_GQ6802763]
CP014715.1_cds_AOA65797.1_216	[gene=GAS1]
CP014715.1_cds_AOA66146.1_217	[locus_tag=AT250_GQ6802761]
CP014715.1_cds_AOA66657.1_218	[locus_tag=AT250_GQ6802760]
CP014715.1_cds_AOA66532.1_219	[locus_tag=AT250_GQ6802759]
CP014715.1_cds_AOA66610.1_220	[gene=RTN1]
CP014715.1_cds_AOA66262.1_221	[locus_tag=AT250_GQ6802756]
CP014715.1_cds_AOA65918.1_222	[gene=PEP5]
CP014715.1_cds_AOA66909.1_223	[gene=HOG1]
CP014715.1_cds_AOA66014.1_224	[locus_tag=AT250_GQ6802753]
CP014715.1_cds_AOA66009.1_225	[gene=MUK1]
CP014715.1_cds_AOA66824.1_226	[locus_tag=AT250_GQ6802751]
CP014715.1_cds_AOA66599.1_227	[locus_tag=AT250_GQ6802750]
CP014715.1_cds_AOA65496.1_228	[gene=INP54]
CP014715.1_cds_AOA65703.1_229	[gene=RER1]
CP014715.1_cds_AOA66764.1_230	[gene=PSE1]
CP014715.1_cds_AOA66158.1_231	[gene=PGS1]
CP014715.1_cds_AOA66052.1_232	[gene=RIB2]
CP014715.1_cds_AOA66644.1_233	[gene=FAD1]
CP014715.1_cds_AOA66713.1_234	[locus_tag=AT250_GQ6802743]
CP014715.1_cds_AOA65668.1_235	[gene=NUF2]
CP014715.1_cds_AOA66047.1_236	[locus_tag=AT250_GQ6802741]
CP014715.1_cds_AOA65399.1_237	[locus_tag=AT250_GQ6802740]
CP014715.1_cds_AOA65709.1_238	[gene=FAR1]
CP014715.1_cds_AOA66096.1_239	[locus_tag=AT250_GQ6802738]
CP014715.1_cds_AOA66739.1_240	[gene=LUC7]
CP014715.1_cds_AOA66454.1_241	[gene=IMP1]
CP014715.1_cds_AOA66805.1_242	[gene=SWP1]
CP014715.1_cds_AOA66539.1_243	[locus_tag=AT250_GQ6802734]
CP014715.1_cds_AOA66637.1_244	[locus_tag=AT250_GQ6802733]
CP014715.1_cds_AOA65942.1_245	[gene=OCH1]
CP014715.1_cds_AOA66366.1_246	[gene=RAP1]
CP014715.1_cds_AOA66161.1_247	[gene=YNL217W]
CP014715.1_cds_AOA65659.1_248	[gene=GYP7]
CP014715.1_cds_AOA65721.1_249	[gene=PAA1]
CP014715.1_cds_AOA66517.1_250	[gene=MAG1]
CP014715.1_cds_AOA65525.1_251	[gene=DDI1]
CP014715.1_cds_AOA66502.1_252	[locus_tag=AT250_GQ6802725]
CP014715.1_cds_AOA66908.1_253	[gene=DOS2]
CP014715.1_cds_AOA66636.1_254	[gene=DOA4]
CP014715.1_cds_AOA66645.1_255	[gene=SLS1]
CP014715.1_cds_AOA66347.1_256	[gene=CPR1]
CP014715.1_cds_AOA66284.1_257	[gene=ENT5]
CP014715.1_cds_AOA65527.1_258	[gene=GIR2]
CP014715.1_cds_AOA66464.1_259	[gene=YDR161W]
CP014715.1_cds_AOA65694.1_260	[gene=NBP2]
CP014715.1_cds_AOA66171.1_261	[gene=CWC15]
CP014715.1_cds_AOA65507.1_262	[gene=PUT1]
CP014715.1_cds_AOA66775.1_263	[gene=YRB30]
CP014715.1_cds_AOA66544.1_264	[gene=DEG1]
CP014715.1_cds_AOA65438.1_265	[locus_tag=AT250_GQ6802712]
CP014715.1_cds_AOA66571.1_266	[gene=SPB4]
CP014715.1_cds_AOA66311.1_267	[gene=YGR012W]
CP014715.1_cds_AOA66631.1_268	[locus_tag=AT250_GQ6802709]
CP014715.1_cds_AOA65847.1_269	[gene=SNU71]
CP014715.1_cds_AOA65866.1_270	[locus_tag=AT250_GQ6802707]
CP014715.1_cds_AOA66732.1_271	[gene=IRC19]
CP014715.1_cds_AOA65925.1_272	[gene=GPM3]
CP014715.1_cds_AOA66786.1_273	[gene=YGR016W]
CP014715.1_cds_AOA65756.1_274	[locus_tag=AT250_GQ6802703]
CP014715.1_cds_AOA66899.1_275	[locus_tag=AT250_GQ6802702]
CP014715.1_cds_AOA66447.1_276	[gene=TIF34]
CP014715.1_cds_AOA66354.1_277	[locus_tag=AT250_GQ6802699]
